STATION_NAME,CITY,LATITUDE,LONGITUDE,EV_CONNECTOR_TYPES,EV_LEVEL1_EVSE_NUM,EV_LEVEL2_EVSE_CNUM,EV_DC_FAST_NUM,EV_PRICING,FACILITY_TYPE,EV_NETWORK,Month,POPULATION,MEDIAN_INCOME,record_count,STATE_NAME,ELECTRIC_VEHICLE_REG_COUNT,PLUG_IN_HYBRID_VEHICLE_REG_COUNT,HYBRID_ELECTRIC_REG_COUNT,TOTAL_DURATION,CHARGE_DURATION,ENERGY_KWH,NUM_PORTS,TOTAL_SESSIONS,STATE,CTYPE_J1772,CTYPE_CHAdeMO,CTYPE_Combo,EV_NETWORK_AMPUP,EV_NETWORK_Blink Network,EV_NETWORK_ChargePoint Network,EV_NETWORK_EV Connect,EV_NETWORK_Electrify America,EV_NETWORK_FLO,EV_NETWORK_LOOP,EV_NETWORK_Non-Networked,EV_NETWORK_Other,EV_NETWORK_RED_E,EV_NETWORK_SHELL_RECHARGE,EV_NETWORK_SWTCH,EV_NETWORK_Tesla,EV_NETWORK_Tesla Destination,EV_NETWORK_VIALYNK,EV_NETWORK_eVgo Network,PRICE_per_kwh_rate,PRICE_per_minute_rate,PRICE_per_hour_rate,PRICE_per_session_fee,PRICE_monthly_fee,PRICE_activation_fee_present,PRICE_parking_fee_present,PRICE_is_free,PRICE_other_or_unknown,FACILITY_TYPE_HOTEL,FACILITY_TYPE_CAR_DEALER,FACILITY_TYPE_PARKING_LOT,FACILITY_TYPE_OFFICE_BLDG,FACILITY_TYPE_PUBLIC,FACILITY_TYPE_PARKING_GARAGE,FACILITY_TYPE_MULTI_UNIT_DWELLING,FACILITY_TYPE_MUNI_GOV,FACILITY_TYPE_OTHER,FACILITY_TYPE_COLLEGE_CAMPUS,FACILITY_TYPE_SHOPPING_CENTER,FACILITY_TYPE_FED_GOV,FACILITY_TYPE_RESTAURANT,FACILITY_TYPE_GAS_STATION,FACILITY_TYPE_HOSPITAL,FACILITY_TYPE_UTILITY,FACILITY_TYPE_STREET_PARKING,FACILITY_TYPE_GROCERY,FACILITY_TYPE_INN,FACILITY_TYPE_BREWERY_DISTILLERY_WINERY,FACILITY_TYPE_clean,FACILITY_TYPE_BREWERY_DISTILLERY_WINERY,FACILITY_TYPE_CAR_DEALER,FACILITY_TYPE_COLLEGE_CAMPUS,FACILITY_TYPE_FED_GOV,FACILITY_TYPE_GAS_STATION,FACILITY_TYPE_GROCERY,FACILITY_TYPE_HOSPITAL,FACILITY_TYPE_HOTEL,FACILITY_TYPE_INN,FACILITY_TYPE_MULTI_UNIT_DWELLING,FACILITY_TYPE_MUNI_GOV,FACILITY_TYPE_OFFICE_BLDG,FACILITY_TYPE_OTHER,FACILITY_TYPE_Other,FACILITY_TYPE_PARKING_GARAGE,FACILITY_TYPE_PARKING_LOT,FACILITY_TYPE_PUBLIC,FACILITY_TYPE_RESTAURANT,FACILITY_TYPE_SHOPPING_CENTER,FACILITY_TYPE_STREET_PARKING,FACILITY_TYPE_UTILITY,season,STATE_AK,STATE_AL,STATE_AR,STATE_AZ,STATE_CA,STATE_CO,STATE_CT,STATE_DC,STATE_DE,STATE_FL,STATE_GA,STATE_HI,STATE_IA,STATE_ID,STATE_IL,STATE_IN,STATE_KS,STATE_KY,STATE_LA,STATE_MA,STATE_MD,STATE_ME,STATE_MI,STATE_MN,STATE_MO,STATE_MS,STATE_MT,STATE_NC,STATE_ND,STATE_NE,STATE_NH,STATE_NJ,STATE_NM,STATE_NV,STATE_NY,STATE_OH,STATE_OK,STATE_OR,STATE_PA,STATE_RI,STATE_SC,STATE_SD,STATE_TN,STATE_TX,STATE_UT,STATE_VA,STATE_VT,STATE_WA,STATE_WI,STATE_WV,STATE_WY,record_count_1,record_count_2,record_count_3,record_count_4,season_fall,season_spring,season_summer,season_winter,Month_1.0,Month_2.0,Month_3.0,Month_4.0,Month_5.0,Month_6.0,Month_7.0,Month_8.0,Month_9.0,Month_10.0,Month_11.0,Month_12.0,EV_PENETRATION,EV_GROWTH_RATE,EV_PER_STATION,EV_INFRASTRUCTURE_INDEX,LOG_EV_REG,ADOPTION_DEMAND_SCORE,sessions_per_port,avg_charge_time,demand_score,high_demand,low_demand
Anchorage Museum,Anchorage,61.2157121227527,-149.884839700095,"[""""J1772""""]",0.0,1.0,0.0,,MUSEUM,Non-Networked,7.0,289069.0,98152.0,1,Alaska,2700.0,900.0,10600.0,840.0316487379688,267.7132164908391,1298.1086474246722,2.0,111.6378919949375,AK,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,summer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009340330509324764,0.0,1350.0,0.7407407407407407,7.901377353792616,0.11956378227593899,55.81894599746875,2.398049727622761,55.81894599746875,0,1
SEWARDCHAMBER SAK CHARGER,Seward,60.128085,-149.434015,"[""""J1772""""]",0.0,2.0,0.0,,RESTAURANT,ChargePoint Network,9.0,59843.0,77722.0,1,AK,2700.0,900.0,10600.0,849.8031215344921,270.70347948980145,1305.4295856987321,2.0,112.01124706878794,AK,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,1,0,0,0,fall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04511805892084287,0.0,1350.0,0.7407407407407407,7.901377353792616,0.13745264648169805,56.00562353439397,2.4167526616640385,56.00562353439397,0,1
CHUGACHMIUT CT4025-GW1,Seward,60.12973,-149.433767,"[""""J1772""""]",0.0,2.0,0.0,,RESTAURANT,ChargePoint Network,9.0,59843.0,77722.0,1,AK,2700.0,900.0,10600.0,849.8031215344921,270.70347948980145,1305.4295856987321,2.0,112.01124706878794,AK,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,1,0,0,0,fall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04511805892084287,0.0,1350.0,0.7407407407407407,7.901377353792616,0.13745264648169805,56.00562353439397,2.4167526616640385,56.00562353439397,0,1
Exit Marine,Seward,60.1236646961308,-149.432916063527,"[""""TESLA""""]",0.0,3.0,0.0,free,OTHER,Non-Networked,7.0,59843.0,77722.0,1,Alaska,2700.0,900.0,10600.0,849.8031215344921,270.70347948980145,1305.4295856987321,2.0,112.01124706878794,AK,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,1,False,0,0,0,0,0,0,0,summer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04511805892084287,0.0,1350.0,0.7407407407407407,7.901377353792616,0.13745264648169805,56.00562353439397,2.4167526616640385,56.00562353439397,0,1
Tongass National Forest,SITKA,57.056947,-135.348285,"[""""J1772""""]",0.0,1.0,0.0,free,FED_GOV,Non-Networked,1.0,8393.0,101207.0,1,AK,2700.0,900.0,10600.0,840.9272278583043,268.58327668394753,1297.9681053187335,2.0,111.74487864283165,AK,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FED_GOV,0,0,0,1,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,winter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32169665197188135,0.0,1350.0,0.7407407407407407,7.901377353792616,0.27574194300721727,55.872439321415825,2.403539920092588,55.872439321415825,0,1
Alaska JCC,Palmer,61.599415,-149.114633,"[""""NEMA1450""""]",3.0,0.0,0.0,,FED_GOV,Non-Networked,1.0,110677.0,90625.0,1,AK,2700.0,900.0,10600.0,845.492534810896,268.9741399180821,1297.9681053187335,2.0,111.96431405186706,AK,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FED_GOV,0,0,0,1,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,winter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024395312485882344,0.0,1350.0,0.7407407407407407,7.901377353792616,0.1270912732642178,55.98215702593353,2.4023202588771344,55.98215702593353,0,1
Turkey Red,Palmer,61.601874,-149.115806,"[""J1772"",""TESLA""]",0.0,2.0,0.0,free,RESTAURANT,Non-Networked,3.0,110677.0,90625.0,1,AK,2700.0,900.0,10600.0,845.492534810896,268.9741399180821,1297.9681053187335,2.0,111.96431405186706,AK,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,RESTAURANT,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,1,0,0,0,spring,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024395312485882344,0.0,1350.0,0.7407407407407407,7.901377353792616,0.1270912732642178,55.98215702593353,2.4023202588771344,55.98215702593353,0,1
SEWARDCHAMBER SAK FAST,Seward,60.128054,-149.434023,"[""""J1772COMBO""""]",0.0,0.0,1.0,,UTILITY,ChargePoint Network,9.0,59843.0,77722.0,1,AK,2700.0,900.0,10600.0,11132.49502565494,3444.7542179307115,1305.4295856987321,2.0,1357.4824434869724,AK,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,1,fall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04511805892084287,0.0,1350.0,0.7407407407407407,7.901377353792616,0.13745264648169805,678.7412217434862,2.5376049866856127,678.7412217434862,1,0
ELECTRIC BUS MPL ELEC BUSS,Metlakatla,55.117242,-131.547134,"[""""J1772""""]",0.0,2.0,0.0,,RESTAURANT,ChargePoint Network,9.0,5730.0,59079.0,1,AK,2700.0,900.0,10600.0,921.0958915203321,313.11171320476797,1563.9970935081876,2.0,124.48543160945339,AK,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,1,0,0,0,fall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4712041884816754,0.0,1350.0,0.7407407407407407,7.901377353792616,0.3504957112621143,62.24271580472669,2.5152478419088387,62.24271580472669,0,1
Tongass National Forest,Juneau,58.401137,-134.556115,"[""""J1772""""]",0.0,1.0,0.0,free,FED_GOV,Non-Networked,1.0,31969.0,100513.0,1,AK,2700.0,900.0,10600.0,840.9272278583043,268.58327668394753,1297.9681053187335,2.0,111.74487864283165,AK,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FED_GOV,0,0,0,1,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,winter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0844568175419938,0.0,1350.0,0.7407407407407407,7.901377353792616,0.15712202579227352,55.872439321415825,2.403539920092588,55.872439321415825,0,1
