,state_name,population,median_income,state_fips,county,county_fips,county_name,state_abbr,County Code
0,"Autauga County, Alabama",59285.0,69841.0,01,001,01001,AUTAUGA,AL,C001
1,"Baldwin County, Alabama",239945.0,75019.0,01,003,01003,BALDWIN,AL,C003
2,"Barbour County, Alabama",24757.0,44290.0,01,005,01005,BARBOUR,AL,C005
3,"Bibb County, Alabama",22152.0,51215.0,01,007,01007,BIBB,AL,C007
4,"Blount County, Alabama",59292.0,61096.0,01,009,01009,BLOUNT,AL,C009
5,"Bullock County, Alabama",10157.0,36723.0,01,011,01011,BULLOCK,AL,C011
6,"Butler County, Alabama",18807.0,44881.0,01,013,01013,BUTLER,AL,C013
7,"Calhoun County, Alabama",116141.0,55826.0,01,015,01015,CALHOUN,AL,C015
8,"Chambers County, Alabama",34450.0,49295.0,01,017,01017,CHAMBERS,AL,C017
9,"Cherokee County, Alabama",25224.0,50769.0,01,019,01019,CHEROKEE,AL,C019
10,"Chilton County, Alabama",45500.0,61873.0,01,021,01021,CHILTON,AL,C021
11,"Choctaw County, Alabama",12525.0,44483.0,01,023,01023,CHOCTAW,AL,C023
12,"Clarke County, Alabama",22802.0,49167.0,01,025,01025,CLARKE,AL,C025
13,"Clay County, Alabama",14188.0,51852.0,01,027,01027,CLAY,AL,C027
14,"Cleburne County, Alabama",15254.0,53319.0,01,029,01029,CLEBURNE,AL,C029
15,"Coffee County, Alabama",54231.0,64672.0,01,031,01031,COFFEE,AL,C031
16,"Colbert County, Alabama",57648.0,56736.0,01,033,01033,COLBERT,AL,C033
17,"Conecuh County, Alabama",11411.0,42266.0,01,035,01035,CONECUH,AL,C035
18,"Coosa County, Alabama",10323.0,57063.0,01,037,01037,COOSA,AL,C037
19,"Covington County, Alabama",37647.0,50886.0,01,039,01039,COVINGTON,AL,C039
20,"Crenshaw County, Alabama",13144.0,49040.0,01,041,01041,CRENSHAW,AL,C041
21,"Cullman County, Alabama",89463.0,60916.0,01,043,01043,CULLMAN,AL,C043
22,"Dale County, Alabama",49516.0,53955.0,01,045,01045,DALE,AL,C045
23,"Dallas County, Alabama",37536.0,36810.0,01,047,01047,DALLAS,AL,C047
24,"DeKalb County, Alabama",71946.0,51149.0,01,049,01049,DE KALB,AL,C049
25,"Elmore County, Alabama",88669.0,75553.0,01,051,01051,ELMORE,AL,C051
26,"Escambia County, Alabama",36695.0,44447.0,01,053,01053,ESCAMBIA,AL,C053
27,"Etowah County, Alabama",103208.0,53070.0,01,055,01055,ETOWAH,AL,C055
28,"Fayette County, Alabama",16173.0,50733.0,01,057,01057,FAYETTE,AL,C057
29,"Franklin County, Alabama",31978.0,51493.0,01,059,01059,FRANKLIN,AL,C059
30,"Geneva County, Alabama",26726.0,50951.0,01,061,01061,GENEVA,AL,C061
31,"Greene County, Alabama",7589.0,31495.0,01,063,01063,GREENE,AL,C063
32,"Hale County, Alabama",14749.0,41325.0,01,065,01065,HALE,AL,C065
33,"Henry County, Alabama",17450.0,60135.0,01,067,01067,HENRY,AL,C067
34,"Houston County, Alabama",107628.0,57531.0,01,069,01069,HOUSTON,AL,C069
35,"Jackson County, Alabama",52839.0,49454.0,01,071,01071,JACKSON,AL,C071
36,"Jefferson County, Alabama",669744.0,64589.0,01,073,01073,JEFFERSON,AL,C073
37,"Lamar County, Alabama",13809.0,47447.0,01,075,01075,LAMAR,AL,C075
38,"Lauderdale County, Alabama",95037.0,59082.0,01,077,01077,LAUDERDALE,AL,C077
39,"Lawrence County, Alabama",33182.0,60040.0,01,079,01079,LAWRENCE,AL,C079
40,"Lee County, Alabama",177663.0,61123.0,01,081,01081,LEE,AL,C081
41,"Limestone County, Alabama",107577.0,83534.0,01,083,01083,LIMESTONE,AL,C083
42,"Lowndes County, Alabama",10008.0,35160.0,01,085,01085,LOWNDES,AL,C085
43,"Macon County, Alabama",18951.0,45951.0,01,087,01087,MACON,AL,C087
44,"Madison County, Alabama",397135.0,83528.0,01,089,01089,MADISON,AL,C089
45,"Marengo County, Alabama",19027.0,44205.0,01,091,01091,MARENGO,AL,C091
46,"Marion County, Alabama",29190.0,50714.0,01,093,01093,MARION,AL,C093
47,"Marshall County, Alabama",98712.0,60946.0,01,095,01095,MARSHALL,AL,C095
48,"Mobile County, Alabama",413162.0,58119.0,01,097,01097,MOBILE,AL,C097
49,"Monroe County, Alabama",19580.0,40225.0,01,099,01099,MONROE,AL,C099
50,"Montgomery County, Alabama",227197.0,58153.0,01,101,01101,MONTGOMERY,AL,C101
51,"Morgan County, Alabama",123742.0,64858.0,01,103,01103,MORGAN,AL,C103
52,"Perry County, Alabama",8231.0,34368.0,01,105,01105,PERRY,AL,C105
53,"Pickens County, Alabama",18843.0,47014.0,01,107,01107,PICKENS,AL,C107
54,"Pike County, Alabama",32953.0,47961.0,01,109,01109,PIKE,AL,C109
55,"Randolph County, Alabama",22310.0,51551.0,01,111,01111,RANDOLPH,AL,C111
56,"Russell County, Alabama",58858.0,50046.0,01,113,01113,RUSSELL,AL,C113
57,"St. Clair County, Alabama",92903.0,78993.0,01,115,01115,ST CLAIR,AL,C115
58,"Shelby County, Alabama",226955.0,93543.0,01,117,01117,SHELBY,AL,C117
59,"Sumter County, Alabama",12020.0,37981.0,01,119,01119,SUMTER,AL,C119
60,"Talladega County, Alabama",81170.0,56249.0,01,121,01121,TALLADEGA,AL,C121
61,"Tallapoosa County, Alabama",41070.0,57185.0,01,123,01123,TALLAPOOSA,AL,C123
62,"Tuscaloosa County, Alabama",234036.0,63947.0,01,125,01125,TUSCALOOSA,AL,C125
63,"Walker County, Alabama",64886.0,54509.0,01,127,01127,WALKER,AL,C127
64,"Washington County, Alabama",15270.0,60503.0,01,129,01129,WASHINGTON,AL,C129
65,"Wilcox County, Alabama",10347.0,42236.0,01,131,01131,WILCOX,AL,C131
66,"Winston County, Alabama",23637.0,48032.0,01,133,01133,WINSTON,AL,C133
67,"Aleutians East Borough, Alaska",3423.0,72692.0,02,013,02013,ALEUTIANS EAST,AK,C013
68,"Aleutians West Census Area, Alaska",5178.0,107344.0,02,016,02016,ALEUTIANS WEST,AK,C016
69,"Anchorage Municipality, Alaska",289069.0,98152.0,02,020,02020,ANCHORAGE,AK,C020
70,"Bethel Census Area, Alaska",18487.0,70616.0,02,050,02050,BETHEL,AK,C050
71,"Bristol Bay Borough, Alaska",878.0,100625.0,02,060,02060,BRISTOL BAY,AK,C060
72,"Chugach Census Area, Alaska",6964.0,88565.0,02,063,02063,CHUGACH,AK,C063
73,"Copper River Census Area, Alaska",2626.0,75053.0,02,066,02066,COPPER RIVER,AK,C066
74,"Denali Borough, Alaska",2029.0,88935.0,02,068,02068,DENALI,AK,C068
